"id","second_description","id_desc_id"
"148","معاجين اساسها الزجاج الذواب المستعملة لختم شموع الإشعال ولمنع تسرب السوائل في أجسام المحركات والعوادم ومبردات المياه في السيارات ولتعبئة بعض الفواصل # معاجين أساسها أوكسي كلوريد الزنك المستعملة لمعجنة الخشب و المواد الخزفية وغيرها من المواد # معاجين أساسها أوكسي كلوريد المغنيسيوم المستعملة لسد الشقوق في المصنوعات الخشبية# معاجين أساسها الكبريت المستعملة كمواد سد قاسية ولتماسك القطع في موضعها # معاجين أساسها المواد البلاستيكية المستعملة لمنع تسرب السوائل في بعض الفواصل ولتسوية سطوح الأرضيات #  معاجين أساسها أكسيد الزنك والجلسرين المستعملة لصنع مواد تغطية متحملة للحوامض أو لتثبيت قطع معدنية على مصنوعات البورسلان أو لوصل الانابيب #  معاجين اساسها المطاط المستعملة ، بعد أضافة مقسي ، لصنع مواد تغطية واقية مرنة كما تستعمل لجلفطة السفن # شمع الاختام المركب المستعمل لسد التجاويف ولمنع تسرب السوائل من أوعية الزجاج ولختم المستندات # معاجين الحشو لإعداد الأسطح للطلاء بتسوية البروزات وحشو  الشقوق والثقوب ويوضع عليها الطلاء بعد جفافها وصقلها","32141000"
"149","حبر للكتابة والرسم # حبر للنقل أو النسخ # الحبر المعد للأقلام ذات الريشة الكروية # الحبر المعد للآلات الناسخة # الحبر للأختام # الحبر لأشرطة الآلات الكاتبة $ الحبر المعد للترقيم # الحبر السري","32159000"
"15","لحم خنزير مخلي ، مملح ، غير مطبوخ ، بنكهة الأعشاب والبهارات. هذا لحم الخنزير مخصص للاستهلاك الآدمي وهو معبأ بتفريغ الهواء. متوسط ​​الأبعاد: 480 مم (طول) × 180 مم (عرض) × 45 مم (ارتفاع). متوسط ​​الوزن: 3.5 كجم # بطن لحم الخنزير جاف ومدخن فوق خشب الزان ، ومعبأ للبيع بالتجزئة في شرائح 2.8 كجم ","02101200"
"150","دهن العود","33013000"
"151","ماء كادي # ماء ورد # ماء زهر # ماء تفاح ","33019000"
"152","ماء كولونيا","33030000"
"153","ملمعات وطلاء الأظافر # مزيلات طلاء الأظافر","33043000"
"154","بودرة الأطفال","33049100"
"155","خل للزينة # محضرات وقاية الجلد من الشمس # محضرات تطرية الجلد # محضرات لطلاء الوجه ومعاجين ومحضرات نزع الطلاء","33049900"
"156","زيوت الشعر # كريم الشعر # محضرات صبغ الشعر","33059000"
"157","معاجين الأسنان # منظفات الأسنان الاصطناعية","33061000"
"158","محضرات غسل الفم وتعطير رائحته # محضرات تثبيت الأسنان الاصطناعية ","33069000"
"159","فحم منشط لإزالة الروائح داخل الثلاجات و السيارات ","33074900"
"16","لحم الخنزير من نوع لحم الخنزير المقدد على شكل شرائح مدخنة من جلد الحيوان. المنتج مجمد ومملح للحفظ # لحم الخنزير وقطع لحم الخنزير من أنواع الخنازير ، مملحة ، مجففة ، منزوعة العظام ومقدمة كاملة ، على شكل قطع أو شرائح ، منزوعة العظم. تباع المنتجات تحت الشبكة أو مغلفة بالبلاستيك. لا يشمل هذا BTI لحم الخنزير العظم. ","02101900"
"160","محاليل تعقيم العدسات اللاصقة والعيون الاصطناعية","33079010"
"161","سوائل تنظيف الاطباق والارضيات و سوائل تنظيف الحمامات - بودرة مساحيق تنظيف الاطباق ( جلايات)","34023900"
"162","محضرات غواسل ( مثل الكلوركس) # محضرات غسيل: مساحيق جافة ( مثل التايد)","34025000"
"163","مساحيق الغسيل( للغسالات الآلية - الغسالات العادية ) # مطريات الغسيل ","34029000"
"164","محضرات التشحيم المعدة لتخفيف الاحتكاك # زيوت و شحوم السحب # زيوت القواطع # محضرات حل البراغي والصواميل # محضرات مضادة للصدأ أو التأكل","34031900"
"165","شمع أختام ","34049000"
"166","محضرات تلميع الزجاج والمرايا # محضرات تلميع المعادن ","34059000"
"167","النشاء الذي سبق تهليمه (جلتنته) أو النشاء النافش# النشاء المعالج بالأثير أو بالأستيرات # النشاء القابل للذوبان "" أميلوجين""","35051000"
"168","أنفحة العجول","35071000"
"169","محضرات أنزيمية لتطرية اللحوم # محضرات أنزيمية لتنقية عصير الفواكه # محضرات أنزيمية لإزالة النشاء من الأقمشة # الأنزيمات البنكرياسية # أنزيم الهضمين "" بيبسين "" # أنزيمات الشعير الناشط "" مالت""","35079000"
"17","الدجاج المدخن بشكل طبيعي. للاستهلاك الآدمي. صدور الدجاج في عبوات البيع بالتجزئة #  دجاج غير مدخن. من صدر دجاجة (دجاج فقط). #  لحوم وأحشاء صالحة للأكل ، مملحة ، في محلول ملحي ، مجففة أو مدخنة ؛ وجبة من لحوم أو مخلفاتها صالحة للأكل ، بما في ذلك دقيق صالح للأكل من لحوم أو مخلفاتها: من حيوانات الأبقار","02109900"
"170","ألعاب نارية خاصة بالأطفال # ألعاب  نارية خاصة بالمهرجانات والاحتفالات","36041000"
"171","أحجار قداحات","36069000"
"172","مواد التظهير ( التحميض) # مواد التثبيت # مواد التقوية ومواد التخفيف # مواد التحويل # مواد التنظيف ","37079000"
"173","مخاليط جرافيت مع زيوت معدنية","38019000"
"174","محضرا تثبيت كي الملابس ( مثل مريتو)","38091000"
"175","ملطف أقمشة ومناشف ( مثل لينور )","38099100"
"176","حبيبات بلاستيكية","39011000"
"177","عدد ولوازم الكهرباء والتمديدات الكهربائية","39169000"
"178","أدوات صحية وأصناف صناعة الحنفيات وأقفال واكسسوارات بناء","39173100"
"179","أدوات صحية وأصناف صناعة الحنفيات وأقفال واكسسوارات بناء","39173900"
"18","سلمون أطلنطي طازج (سالمو سالار)","03021400"
"180","أشرطة اللاصقة وعبوات التغليف","39191000"
"181","أشرطة اللاصقة وعبوات التغليف","39199000"
"182","أشرطة اللاصقة وعبوات التغليف","39206300"
"183","أشرطة اللاصقة وعبوات التغليف","39211100"
"184","أشرطة اللاصقة وعبوات التغليف","39211300"
"185","أشرطة اللاصقة وعبوات التغليف","39211400"
"186","أشرطة اللاصقة وعبوات التغليف","39211900"
"187","أدوات صحية وأصناف صناعة الحنفيات وأقفال واكسسوارات بناء","40092200"
"188","(ورق بتنسيق A4 )يبلغ وزن المتر المربع أقل من 150 جرام وأكثر من 80 جرام","48026200"
"189","طباخ# افران طبخ# شوايات#كوانين","73211100"
"19","زهرة الرأس (Kingklip) من فصيلةGenypterus Capensis ","03028900"
"190","مروحة سقفية (غطاء بلاستيك 56 انش ) #  مروحة سقفية صناعية ( غطاء معدني 56 انش) #  مروحة جدارية( 16 انش - 18 انش) #  مروحة صندوقية (12 انش - 14 انش - 16 انش - 18 انش - 20 انش ) # مروحة مكتبية ( 14 انش - 16 انش ) ","84145100"
"191","ساحبة هواء (جدارية  - سقفية - نافذية )","84146000"
"192","مكيفات # مكيف جداري قطعتين (بارد وساخن)","84158100"
"193","برادات","84182900"
"194","مجمدات من 5 الى 15 قدم # مجمدات اكبر من 15 قدم","84184010"
"195","عبوة فلتر لمبرد مياه","84212110"
"196","الغسالات الالية ذات التعبئة الامامية # الغسالات ذات الحوضين","84501900"
"197","ضأن أصيلة للأنسال وغيرها  # أغنام أصيلة للأنسال وغيرها#غنم","01041000"
"198","ماعز أصيلة الأنسال وغيرها","01042000"
"199","آمو ( درومايوس وفيهولنداي )","01063300"
"2","خيول للرياضة # خيول صغيرة الجسم ( بوني )","01012900"
"20","اسماك السلمون الأطلسي - جادوس مورهوا","03039900"
"202","سالموتروتا، أنكور هينوكس ميكيس، أنكور هينوكس كلاركي، أنكور
هينوكس أجوابونيتا، أنكور هينوكس جيلاي أنكور هينوكس أباشي، أنكور هينوكس
كريزوجاستر","03019100"
"203","سيرينوس كاربيو . كراسيوس كراسيوس . استينوفارينجودون إيدلوس.  
هيليبوفثاليميكيش . من نوع سيريهينوس . ميلوفارينجودون بيسوس","03019300"
"204","سالموتروتا، أنكور هينوكس ميكيس، أنكور هينوكس كلاركي، أنكور
هينوكس أجوابونيتا، أنكور هينوكس جيلاي، أنكور هينوكس أباشي، أنكور هينوكس
كريزوجاستر","03021100"
"205","اأنكور هينوكس نكرا، أنكور هينوكس غوربشا، أنكور هينوكس
كيتا، أنكور هينوكس تشاوتشا، أنكور هينوكس كيسوتش، أنكور هينوكس ماسو، أنكور
هينوكس رودورس","03021300"
"206","رينهاردتيوس هيبوجلوسودايس، أو هيبوجلوس هيبوجلوس،
هيبوجلوسوس ستينوليبيس","03022100"
"207","سمك بياض حمام وخضره وصال - سمك زبيدي- غيرها","03024500"
"208","سمك قد أزرق (ابيض أزرق) مايكروميسيستوس, بوتاسو, مايكروميسيستوس
أوستراليس","03025900"
"209","تقاوي للزرع","07011000"
"21","شرائح مقطعة (بدون بطن وذيل مشذب) ، قطعتان لكل سمكة ، من أنواع الأسماك الحمراء النرويجية (Sebastes spp.) ، تقدم طازجة أو مبردة.","03044900"
"211","بصل للبذار قزح أو قنار  #  بصل للطعام أخضر أو يابس القشرة # البصل المجفف","07031000"
"212","قرنبيط ور,وس بروكلي","07041000"
"213","كرنب بروكسل","07042000"
"214","قريش #  قريشة","04041000"
"215","فطر من جنس اجاريكوس #كمأ فقع","07095100"
"216","ثمرة القورو","08027000"
"217","زبيب","08062000"
"218","بطيخ اخضر","08071100"
"22","شرائح الهامور ","03049900"
"220","توت الأرض فريز أو فراولة","08111000"
"221","غير مجروشة ولا مسحوقة","09103000"
"222","شوفان أشهب أو أسود #شوفان أبيض أو أصف","10049000"
"223","ذرة صفراء ذهبية#ذرة بيضاء#ذرة سمراء","10059000"
"228","سوليا","03022300"
"229","بيستا
ماكسيما.","03022400"
"23","حليب بقري منزوع الدسم UHT بنسبة دهون 0.3٪ # الحليب السائل وغير المجفف","04011000"
"230","ثونوس
الألونجا","03023100"
"231","سمك هوشع (بلورنكتس بلاتيس","03022200"
"232","ثونوس البكارس","03023200"
"233","ثونوس، أوبسوس","03023400"
"234","من نوع أوريوكروميس","03027100"
"235","من أنواع
بانجاسيوس# سيلوروس# كلارياس
ايكتالوروس","03027200"
"236","ثعبان البحر#انجويلا","03027400"
"237","سمك سيبريم #شعوميات مثل
شعم#سبيطي# نهاش#فسكر#قرقفان#
كوفر#سباريداي","03028500"
"238","سمك سلورمن أنواع
بانجاسيوس#سيلوروس# كلارياس #ايكتالوروس","03032400"
"239","سمـك شبـوط ( من أنواع
سبرينوس، كاراسيوس كاراسيوس،
ستينوفارينجودون، آيدلـوس و من
أنواع هيبوفثالميكثيس و سيرهينـوس
و ميلوفارينجودون بيسوس،و من
أنواع كاتلا كاتلا و لابيو،
أوستيوكيلوس هاسلتي، لبتوباربوس
هوفيني و ميجالوبرام","03032500"
"24","حليب بقري نصف منزوع الدسم UHT # حليب أبقار مبستر منزوع الدسم.محتوى الدهون أقل من 1٪ من حيث الوزن ويستخدم في غذاء الإنسان. # حليب أبقار مبستر شبه منزوع الدسم. محتوى الدهون أكبر من 1٪ من حيث الوزن ولكن أقل من 3٪ . # حليب نصف منزوع الدسم UHT من الماعز. يتم استخدامه لغذاء الإنسان. نسبة الدهون من حيث الوزن 1.6٪ . # الحليب مع العناصر النزرة والفيتامينات المضافة. تم تقديم معلومات عن التركيب والعرض ، والتي بموجبها يتكون المنتج من حليب كامل الدسم وكميات صغيرة من فيتامين D3 والعناصر النزرة من الحديد والزنك ويتم تقديمها في عبوات سعة 200 مل لكل منهما. دهن الحليب: أكثر من 3٪ ولكن ليس أكثر من 6٪ (كما هو محدد) حليب غير مركز ولا يحتوي على سكر مضاف أو مواد تحلية أخرى ، بمحتوى دهن لبن يزيد وزنه عن 3٪ ولكن لا يزيد عن 6٪ في عبوات فورية من 2 لتر أو أقل  # حليب بقري كامل الدسم UHT مع نسبة دهون تصل إلى 3.6٪ # حليب بقري كامل مبستر. محتوى الدهون أكبر من 3٪ من حيث الوزن وأقل من 6٪","04012000"
"240","ثعبان البحر#انجويلا","03032600"
"241","سمك قفندر رينهار دتيوس هيبو
جلوسودايس، هيبو جلوسوس
هيبوجلوسوس، هيبوجلوسوس ستينو
ليبيس","03033100"
"242","سمك قد (جادوس موروا أو
جادوس أوجاك وجادوس
ماكروسيفالوس)","03036300"
"243","سمك الحدوق (ميلانوجراموس
(إيكلفينوس","03036400"
"244","بولاكيوس فيرنس","03036500"
"245","سمك الاسكا بولاك ثيراجا
كالكوجراما","03036700"
"246","أبيض أزرق 
مايكروميسيستوس،بوتاسو
مايكروميسيستوس أوستراليس","03036800"
"247","سلطعون، أو قبقب","03061400"
"248","جاج من نوع جالوس
دوميستيكوس","04072100"
"249","زيت خام","15121100"
"25","كريمة الطهي # كريم UHT يتم الحصول عليه من حليب البقر بالطرد المركزي ، مع محتوى دهون الحليب بنسبة 21٪ من حيث الوزن ولكن لا يزيد عن 45٪ من حيث الوزن ؛ تخضع لعملية التعقيم UHT ","04014000"
"250","مصافي زيت للسيارات - فلاتر زيوت للسيارات","84212390"
"251","من اصل نباتي","15180020"
"252","سبيدج","16055400"
"254","سجائر إلكترونية
محتوية على النيكوتين
للاستخدام الواحد","24041200"
"255","سمن بقري#سمن اغنام#سمنالماعز","04059010"
"256","# من لبن الأبقارGhee))زيت منزوع مأوه   
زيت زبد مستحصل عليه باستخلاصالماء
من لبن الجاموسGhee))زيت منزوع مأوه
خليط من الزبده مضاف عليه مضاف عليه
اعشاب
خليط من الزبده مضاف عليه مضاف عليه توابل
خليط من الزبده  مضاف عليه
منكهات
خليط من الزبده مضاف عليه مضاف عليه ثوم
خليط من الزبده مضاف عليه عفلفل
اخضر
خليط من الزبده مضاف عليه فلفل بصل","04059090"
"257","اجبان مسحوقه قليلة الدسم #اجبان مسحوقه#اجبان مبشورهقليلةالدسم#اجبان مبشوره منزوعةالدسم#اجبان مسحوقه منزوعة الدسم","04062000"
"259","نشاء حنطة(قمح)فاخر# نشاء حنطة (قمح)وطني (محلي)","11081100"
"26","مسحوق حليب الماعز منزوع الدسم ، موحد مع اللاكتوز ، بمحتوى بروتيني في المواد الصلبة اللبنية الخالية من الدسم أكبر من 34٪ ، ومحتوى دهني لا يتجاوز 1.5٪ # حليب بودرة مجفف","04021010"
"260","مواد عازلة اسفلتية #رقائق عازلة اسفلتية# مستحلب مائي اسفلتي مطاطي","27149000"
"261","جبصين","25201000"
"263","المحضرات المضادة للصدأ
إضافات لتصليدالورنيش أوالغراء","38249900"
"264","غيرها من بوليمرات أكريليه ،بأشكالهاالأولية","39069000"
"265","غيرمبيض","48045100"
"266","ملونة رخامي في العجينة#ملمس#ملمع#مصقول","48045900"
"267","طاقات صعود الطائرة غير مطبوعة  بطاقات تاقات لحقائب الشحن غير مطبوعة","48239090"
"268","ألياف تركيبية غيرمستمرة وغيرمندوفة ،من
بوليثيلين  
لياف تركيبية غيرمستمرة وغيرممشطة ،من
من بولي ثيلين
ألياف تركيبية غيرمستمرة وغيرمحضرة للغزل ،
من بولي ثيلين","55039000"
"27","حليب بودرة مجفف","04022110"
"270","بسط ""شوماك"" ، يدوية النسيج","57021000"
"271","سجاد صلاة من صوف ،مخملية، جاهزة
سجاد أرضيات من صوف ،مخملية، جاهزة","57024900"
"272","سجاد بمربعات لاتتجاوز مساحةسطحها عن
0.3م 2من وبر حيواني
أغطيةأرضيات بمربعاتلاتتجاوز مساحة
سطحها عن 0.3م 2من صوف","57049000"
"273","أشرطة لاصقة بعرض لا يزيد عن 20 سم","59061000"
"274","احجار تبليط من جرانيت ومن رخام","68010000"
"275","مكعبات فسيفساء وان كانت علي حامل من
 مرمر او رخام","68022100"
"276","الواح وصفائح زجاج مسحوب
#الواح وصفائح زجاج منفوخ","70042000"
"277","لسدادات النافئة والحارقات والأجزاءالمماثلة للأفران
 الحوامل النارية الخزفية
اللوازم الأخرى للقمائن والأفران لسندأوفصل
الخزف أثناءالمعالجةالنارية.
لقضبان الناريةالخزفية
حوامل البوادق
المصنوعات المماثلة للإستعمال","69039000"
"278","صناديق (كبائن) تثبت ضمن جدران المنشآت لإحتواء أجهزة إطفاء الحريق أو أنابيب
المياه #وما يماثل ف كبيرة معدة للتجميع والتركيب الدائم في المحلات والورش والمخازن# زوايا ومرابط لربط بلاط الديكور في الأسقفط#سقالات ومنصات لوازم شد السقالات# درج سلالم# مطلات وقبب من حديد او صلب","73089000"
"279","مراوح طاولة ذات
محرك كهربائي مندمج
تتجاوز قدرته  125واط W
مراوح ترتكز على
الأرض ذات محرك
كهربائي مندمج تتجاوز
قدرته  125واط W","84145990"
"28","حليب بودرة مجفف","04022910"
"280","مصابيح المستخدمة في وسائط 
(النقل(السيارات، الطائرات،القطارات","85392100"
"281","كاميرات تلفزيونية عالية
السرعة فقط للمراقبة
الأمنية
غيرها من كاميرات عالية
 السرعة","85258100"
"282","كاميرات تلفزيونية #كاميرات رقمية للصور
أصناف مقاومة للإشعاع  كاميرات فيديو مقاومة أو متحملة للإشعاع","85258200"
"284","Lard","15011000"
"285","شحم الأمعاء (ودك)","15021000"
"286","زيت خام وإن نزع منه الجوسيبول","15122100"
"287","زيت خام","15141100"
"288","من دواجن# من خنزير أو دم حيواني#من فصيلة الأبقار","16010000"
"289","دردار","16055700"
"29","لبنة "" لبن مصفى "" # مخيض اللبن # الكشكة#الكريمة و القشدة الحامضة","04039000"
"290","الراكاهوت","19019010"
"291","محتوية على كاكاو","19042000"
"292","خبز مقرمش معروف بأسم (كناكروت)","19051000"
"293","جزر#بازلياء#فاصولياء# لوبياء#هيلون#سبانخ#بامياء#خضر مشكلة","20049000"
"294","تغذية الاطفال#للحمية#","20051000"
"3","دجاج بياض  #  دجاج لاحم  #  دجاج أمهات","01059400"
"30","جبن ابيض عكاوي#جبن ابيض منزوع الدسم#جبنة بيض كامل الدسم#جبن قريش#جبن موزاريلا#جبنة بيضاء عادية # جبن ابيض #جبن ابيض قليل الملح # جبن ابض بدون ملح #فيتا# جبن الريكوته#جبن ابيض حلوم","04061000"
"300","عصير برتقال مجمد","20091110"
"31","جبنة قشقوان  # جبنة حلوم  # جبنة دهن # جبنة مطبوخة - جبنة مطبوخة على شكل شرائح # جبن قشدة طازج مخمر #  جبن قاسي أو متوسط التقسية (مثل الشدر، الجودا، الجروير ، الباروميسان) # جبن أصفر نصف مصنع لا يقل وزن العبوة عن 15 كيلو جرام","04063000"
"32","بيض سلاحف # أعشاش السلنجان","04109000"
"33","ذبل سلحفاة (درق)، صفيحات فك الحوت (بما فيها الأهداب) أو غيره من ثدييات بحرية ؛ مساحيقها ونفاياتها # قرون وقرون مشعبة وحوافر وأظافر ومخالب ومناقير؛ مساحيقها  ونفاياتها","05079000"
