"id","restriction_import","document_import","id_importfee_id","document_import_en","restriction_import_en"
"36","شريطة أن يكون الوصف التجاري فاصولياء وأن تكون لمنشأة صناعية عاملة وأن تكون المواد المذكورة معرضة لعمليات تصنيعية (كونسروة)","مستودع أومحل + 2 عامل + منشأة صناعية","07133390","Warehouse or shop + 2 workers + industrial facility","Provided that the commercial description is for beans and that it is for an operating industrial facility and that the mentioned materials are subjected to manufacturing processes (conservatory)."
"37","لمنشأة صناعية عاملة وأن تكون المواد المذكورة معرضة لعمليات تصنيعية (كونسروة)","مستودع أومحل + 2 عامل + منشأة صناعية","07133400","Warehouse or shop + 2 workers + industrial facility","For an operating industrial facility, and that the aforementioned materials are subject to manufacturing processes (conservatory)"
"38",,"مستودع أومحل + 2 عامل","07133510","Warehouse or shop + 2 workers",
"39",,"مستودع أومحل + 2 عامل","07133910","Warehouse or shop + 2 workers",
"40","لمنشأة صناعية عاملة وأن تكون المواد المذكورة معرضة لعمليات تصنيعية (كونسروة)","مستودع أومحل + 2 عامل + منشأة صناعية","07134000","Warehouse or shop + 2 workers + industrial facility","For an operating industrial facility, and that the aforementioned materials are subject to manufacturing processes (conservatory)"
"41",,"مستودع أومحل + 2 عامل","07135010","Warehouse or shop + 2 workers",
"42","شريطة أن يكون الوصف التجاري فول وأن تكون لمنشأة صناعية عاملة وأن تكون المواد المذكورة معرضة لعمليات تصنيعية (كونسروة)","مستودع أومحل + 2 عامل + منشأة صناعية","07135090","Warehouse or shop + 2 workers + industrial facility","Provided that the commercial description is beans, that it is for an operating industrial facility, and that the mentioned materials are subject to manufacturing processes (conservatory)."
"43","شريطة أن يكون الوصف التجاري بازيلاء وأن تكون لمنشأة صناعية عاملة وأن تكون المواد المذكورة معرضة لعمليات تصنيعية (كونسروة)","مستودع أومحل + 2 عامل + منشأة صناعية","07136000","Warehouse or shop + 2 workers + industrial facility","Provided that the commercial description is for peas and that it is for an operating industrial facility and that the mentioned materials are subject to manufacturing processes (conservatory)."
"44",,"مستودع أومحل + 2 عامل","08011100","Warehouse or shop + 2 workers",
"45",,"مستودع أومحل + 2 عامل","08025100","Warehouse or shop + 2 workers",
"46",,"مستودع أومحل + 2 عامل","08025200","Warehouse or shop + 2 workers",
"47","تبعا لموسم الموز وبموجب تعليمات خاصة لغاية 30 /4 /2023","مستودع أومحل + 2 عامل","08031000","Warehouse or shop + 2 workers","Depending on the banana season"
"48","شريطة أن يكون الوصف التجاري:  الموز حصراً - وفق تعليمات خاصة","مستودع أومحل + 2 عامل","08039000","Warehouse or shop + 2 workers","Provided that the commercial description is: bananas exclusively - according to special instructions"
"49",,"مستودع أومحل + 2 عامل","08041000","Warehouse or shop + 2 workers",
"50",,"مستودع أومحل + 2 عامل","09011100","Warehouse or shop + 2 workers",
"51",,"مستودع أومحل + 2 عامل","09011200","Warehouse or shop + 2 workers",
"52",,"مستودع أومحل + 2 عامل","09021000","Warehouse or shop + 2 workers",
"53",,"مستودع أومحل + 2 عامل","09022000","Warehouse or shop + 2 workers",
"54",,"مستودع أومحل + 2 عامل","09023000","Warehouse or shop + 2 workers",
"55",,"مستودع أومحل + 2 عامل","09024000","Warehouse or shop + 2 workers",
"56",,"مستودع أومحل + 2 عامل","09030000","Warehouse or shop + 2 workers",
"57",,"مستودع أومحل + 2 عامل","09041100","Warehouse or shop + 2 workers",
"58",,"مستودع أومحل + 2 عامل","09041200","Warehouse or shop + 2 workers",
"59",,"مستودع أومحل + 2 عامل","09061100","Warehouse or shop + 2 workers",
"60",,"مستودع أومحل + 2 عامل","09061900","Warehouse or shop + 2 workers",
"61",,"مستودع أومحل + 2 عامل","09062000","Warehouse or shop + 2 workers",
"62",,"مستودع أومحل + 2 عامل","09071000","Warehouse or shop + 2 workers",
"63",,"مستودع أومحل + 2 عامل","09072000","Warehouse or shop + 2 workers",
"64",,"مستودع أومحل + 2 عامل","09081100","Warehouse or shop + 2 workers",
"65",,"مستودع أومحل + 2 عامل","09082100","Warehouse or shop + 2 workers",
"66",,"مستودع أومحل + 2 عامل","09083100","Warehouse or shop + 2 workers",
"67",,"مستودع أومحل + 2 عامل","09101100","Warehouse or shop + 2 workers",
"68",,"مستودع أومحل + 2 عامل","09101200","Warehouse or shop + 2 workers",
"69",,"مستودع أومحل + 2 عامل","09103000","Warehouse or shop + 2 workers",
"70","شريطة أن تكون دوكمة","مستودع أومحل + 2 عامل","09109100","Warehouse or shop + 2 workers","Provided that it is a duma"
"71","شريطة أن كون يكون الوصف التجاري بهارات وتوابل حصراً وأن تكون دوكمة ","مستودع أومحل + 2 عامل","09109900","Warehouse or shop + 2 workers","Provided that the commercial description is exclusively spices and seasonings and that they are dukmah"
"72","شريطة أن يكون الوصف التجاري:  القمح حصراً","مستودع أومحل + 2 عامل","10011900","Warehouse or shop + 2 workers","Provided that the commercial description is: wheat exclusively"
"73","شريطة أن يكون الوصف التجاري:  القمح /قاس أو طري/ حصراً","مستودع أومحل + 2 عامل","10019900","Warehouse or shop + 2 workers","Provided that the commercial description is: wheat (hard or soft) exclusively"
"74","لغاية 31 / 12 / 2023","مستودع أومحل + 2 عامل","10039000","Warehouse or shop + 2 workers","Until 12/31/2023"
"75",,"مستودع أومحل + 2 عامل","10051000","Warehouse or shop + 2 workers",
"76","شريطة أن يكون الوصف التجاري ذرة صفراء علفية","مستودع أومحل + 2 عامل","10059000","Warehouse or shop + 2 workers","Provided that the commercial description is fodder yellow corn"
"77",,"مستودع أومحل + 2 عامل","10061000","Warehouse or shop + 2 workers",
"78",,"مستودع أومحل + 2 عامل","10062000","Warehouse or shop + 2 workers",
"79",,"مستودع أومحل + 2 عامل","10063000","Warehouse or shop + 2 workers",
"80",,"مستودع أومحل + 2 عامل","10071000","Warehouse or shop + 2 workers",
"81",,"مستودع أومحل + 2 عامل","10083000","Warehouse or shop + 2 workers",
"82",,"مستودع أومحل + 2 عامل","11010000","Warehouse or shop + 2 workers",
"83",,"مستودع أومحل + 2 عامل","11051000","Warehouse or shop + 2 workers",
"84","لمنشاة صناعية قائمة وتعمل فقط و بموجب كتاب مخصصات وأن تكون المادة غير جاهزة للاستهلاك المباشر","مستودع أومحل + 2 عامل + منشأة صناعية","11071000","Warehouse or shop + 2 workers + industrial facility","For an existing industrial facility operating only under an allotment letter, and the material is not ready for direct consumption"
"85","لمنشاة صناعية قائمة وتعمل فقط و بموجب كتاب مخصصات وأن تكون المادة غير جاهزة للاستهلاك المباشر","مستودع أومحل + 2 عامل + منشأة صناعية","11072000","Warehouse or shop + 2 workers + industrial facility","For an existing industrial facility operating only under an allotment letter, and the material is not ready for direct consumption"
"86",,"مستودع أومحل + 2 عامل","11081200","Warehouse or shop + 2 workers",
"87",,"مستودع أومحل + 2 عامل","11081300","Warehouse or shop + 2 workers",
"88","لمنشأة صناعية دوائية فقط قائمة وتعمل فقط وأن يكون الوصف التجاري: """" نشاء الأرز الطبي غير المعطل","مستودع أومحل + 2 عامل + منشأة صناعية","11081900","Warehouse or shop + 2 workers + industrial facility","For an existing and operating pharmaceutical industrial facility only, the trade description must be: “Undenatured medical rice starch.”"
"89",,"مستودع أومحل + 2 عامل","12011000","Warehouse or shop + 2 workers",
"90","شريطة أن يكون فول صويا حصراً","مستودع أومحل + 2 عامل","12019000","Warehouse or shop + 2 workers","Provided that it is exclusively soybeans"
"91",,"مستودع أومحل + 2 عامل","12023000","Warehouse or shop + 2 workers",
"92",,"مستودع أومحل + 2 عامل","12024100","Warehouse or shop + 2 workers",
"93",,"مستودع أومحل + 2 عامل","12024200","Warehouse or shop + 2 workers",
"94",,"مستودع أومحل + 2 عامل","12040000","Warehouse or shop + 2 workers",
"95",,"مستودع أومحل + 2 عامل","12059000","Warehouse or shop + 2 workers",
"96","شريطة أن تكون لمنشأة صناعية قائمة وتعمل وبحسب مخصصاتها الصناعية وبهدف العصر","مستودع أومحل + 2 عامل + منشأة صناعية","12060000","Warehouse or shop + 2 workers + industrial facility","Provided that it is for an existing industrial facility and operates according to its industrial allocations and for the purpose of the times"
"97","شريطة أن يكون الوصف التجاري بذور القطن الصناعي ولمنشأة صناعية قائمة وتعمل في صناعة الزيوت النباتية ولغاية نهاية العام 2025","مستودع أومحل + 2 عامل + منشأة صناعية","12072900","Warehouse or shop + 2 workers + industrial facility","Provided that the commercial description is for industrial cotton seeds and for an existing industrial facility operating in the vegetable oil industry until the end of the year 2023."
"98",,"مستودع أومحل + 2 عامل","12074000","Warehouse or shop + 2 workers",
"99","شريطة أن يكون بذور زراعية ولا يحتوي على محضرات مصنوعة من خردل ( إلا إذا كانت لمنشأة صناعية  وبحسب مخصصاتها الصناعية فيلغى الشرط)","مستودع أومحل + 2 عامل","12075000","Warehouse or shop + 2 workers","Provided that it is agricultural seeds and does not contain preparations made from mustard (unless it is for an industrial facility and according to its industrial allocations, then the condition is cancelled)."
"100","شريطة أن تكون بذور معدة للزراعة","مستودع أومحل + 2 عامل","12091000","Warehouse or shop + 2 workers","Provided that the seeds are prepared for planting"
"101","شريطة أن تكون بذور معدة للزراعة","مستودع أومحل + 2 عامل","12092100","Warehouse or shop + 2 workers","Provided that the seeds are prepared for planting"
"102","شريطة أن تكون بذور معدة للزراعة","مستودع أومحل + 2 عامل","12092200","Warehouse or shop + 2 workers","Provided that the seeds are prepared for planting"
"103","شريطة أن تكون بذور معدة للزراعة","مستودع أومحل + 2 عامل","12092300","Warehouse or shop + 2 workers","Provided that the seeds are prepared for planting"
"104","شريطة أن تكون بذور معدة للزراعة","مستودع أومحل + 2 عامل","12092400","Warehouse or shop + 2 workers","Provided that the seeds are prepared for planting"
"105","شريطة أن تكون بذور معدة للزراعة","مستودع أومحل + 2 عامل","12092500","Warehouse or shop + 2 workers","Provided that the seeds are prepared for planting"
"106","شريطة أن تكون بذور معدة للزراعة","مستودع أومحل + 2 عامل","12092900","Warehouse or shop + 2 workers","Provided that the seeds are prepared for planting"
"107","شريطة أن تكون بذور معدة للزراعة","مستودع أومحل + 2 عامل","12099100","Warehouse or shop + 2 workers","Provided that the seeds are prepared for planting"
"108","شريطة أن تكون بذار زراعية حصراً","مستودع أومحل + 2 عامل","12099900","Warehouse or shop + 2 workers","Provided that they are exclusively agricultural seeds"
"109",,"مستودع أومحل + 2 عامل","12102000","Warehouse or shop + 2 workers",
"110",,"مستودع أومحل + 2 عامل","12112000","Warehouse or shop + 2 workers",
"111","شريطة أن يكون الوصف التجاري بهارات وتوابل - لمنشأة صناعية شريطة أن يكون الوصف التجاري دقيق الخشب الخاص بصناعة البخور المضغوط جوس بودر ودقيق الخشب الخاص بصناعة البخور ذات اللون الأسود وبموجب كتاب المخصصات الصناعية الفعلية","مستودع أومحل + 2 عامل","12119000","Warehouse or shop + 2 workers","Provided that the commercial description includes spices and condiments"
"112",,"مستودع أومحل + 2 عامل","12141000","Warehouse or shop + 2 workers",
"113",,"مستودع أومحل + 2 عامل","13012000","Warehouse or shop + 2 workers",
"114",,"مستودع أومحل + 2 عامل","13019000","Warehouse or shop + 2 workers",
"115",,"مستودع أومحل + 2 عامل","13021200","Warehouse or shop + 2 workers",
"116","شريطة أن تكون لمنشأة صناعية قائمة وتعمل وبموجب كتاب مخصصات","مستودع أومحل + 2 عامل + منشأة صناعية","13021300","Warehouse or shop + 2 workers + industrial facility","Provided that it is for an existing industrial facility operating under an allotment letter"
"117","شريطة أن يكون الوصف التجاري : خلاصات نباتية  لصناعة الادوية البشرية أو عصلج شرش الحلاوة و شريطة أن تكون مواد أولية للصناعة حصراً","مستودع أومحل + 2 عامل","13021900","Warehouse or shop + 2 workers","Provided that the commercial description is: plant extracts for the manufacture of human medicines or honey whey, and provided that they are raw materials exclusively for the industry."
"118",,"مستودع أومحل + 2 عامل","13022000","Warehouse or shop + 2 workers",
"119",,"مستودع أومحل + 2 عامل","13023100","Warehouse or shop + 2 workers",
"120",,"مستودع أومحل + 2 عامل","13023200","Warehouse or shop + 2 workers",
"121","شريطة أن يكون الوصف التجاري: مستخلصات نباتية وشريطة أن تكون مواد أولية للصناعة حصراً","مستودع أومحل + 2 عامل","13023900","Warehouse or shop + 2 workers","Provided that the commercial description is: plant extracts and provided that they are exclusively raw materials for industry"
"122","شريطة أن يكون الوصف التجاري أعواد من خشب البامبو ولمنشأة صناعية قائمة وتعمل وبموجب كتاب المخصصات الصناعية الفعلية","مستودع أومحل + 2 عامل + منشأة صناعية","14011000","Warehouse or shop + 2 workers + industrial facility","For an existing industrial facility operating only under a book of allocations and that the material is not ready for direct consumption - provided that the health conditions and requirements stipulated in the Livestock Protection Law No. 29 and the requirements of Resolution 301 of 2006 and its amendments are met."
"123","لمنشاة صناعية قائمة وتعمل فقط و بموجب كتاب مخصصات وأن تكون المادة غير جاهزة للاستهلاك المباشر - شريطة تحقيق الشروط والمتطلبات الصحية المنصوص عليها في قانون حماية الثروة الحيوانية رقم /29/ ومتطلبات القرار /301/ لعام 2006 وتعديلاته.","مستودع أومحل + 2 عامل + منشأة صناعية","15041000","Warehouse or shop + 2 workers + industrial facility","For an existing industrial facility operating only under a book of allocations and that the material is not ready for direct consumption - provided that the health conditions and requirements stipulated in the Livestock Protection Law No. 29 and the requirements of Resolution 301 of 2006 and its amendments are met."
"124","لمنشاة صناعية قائمة وتعمل فقط و بموجب كتاب مخصصات وأن تكون المادة غير جاهزة للاستهلاك المباشر - شريطة تحقيق الشروط والمتطلبات الصحية المنصوص عليها في قانون حماية الثروة الحيوانية رقم /29/ ومتطلبات القرار /301/ لعام 2006 وتعديلاته.","مستودع أومحل + 2 عامل + منشأة صناعية","15042000","Warehouse or shop + 2 workers + industrial facility","For an existing industrial facility operating only under a book of allocations and that the material is not ready for direct consumption - provided that the health conditions and requirements stipulated in the Livestock Protection Law No. 29 and the requirements of Resolution 301 of 2006 and its amendments are met."
"125",,"مستودع أومحل + 2 عامل","15050000","Warehouse or shop + 2 workers",
"126","لمنشاة صناعية قائمة وتعمل فقط و بموجب كتاب مخصصات وأن تكون المادة غير جاهزة للاستهلاك المباشر","مستودع أومحل + 2 عامل + منشأة صناعية","15071000","Warehouse or shop + 2 workers + industrial facility","For an existing industrial facility operating only under an allotment letter, and the material is not ready for direct consumption"
"127","شريطة أن يكون الوصف التجاري زيت فول الصويا المعطل ولمنشاة صناعية قائمة وتعمل وفي حدود مخصصاتها الصناعية المقدرة من قبل مديريات الصناعة المعنية","مستودع أومحل + 2 عامل + منشأة صناعية","15079000","Warehouse or shop + 2 workers + industrial facility","Provided that the commercial description is for inactivated soybean oil and for an existing and operating industrial facility within the limits of its industrial allocations estimated by the relevant industry directorates."
"128","شريطة أن يكون وصف المادة يندرج تحت عنوان الفئة وكذلك يندرج تحت عنوان الفصل ذات الصلة الوصف التجاري: زيت فستق العبيد ","مستودع أومحل + 2 عامل","15089000","Warehouse or shop + 2 workers","Provided that the description of the material falls under the category heading and also falls under the relevant chapter heading Trade Description: Ubaid Pistachio Oil"
"129","لمنشاة صناعية قائمة وتعمل فقط و بموجب كتاب مخصصات وأن تكون المادة غير جاهزة للاستهلاك المباشر","مستودع أومحل + 2 عامل + منشأة صناعية","15111000","Warehouse or shop + 2 workers + industrial facility","For an existing industrial facility operating only under an allotment letter, and the material is not ready for direct consumption"
"130",,"مستودع أومحل + 2 عامل","15119010","Warehouse or shop + 2 workers",
"131",,"مستودع أومحل + 2 عامل","15119020","Warehouse or shop + 2 workers",
"132","شريطة أن يكون دوكما وغير معد للبيع بالتجزئة ","مستودع أومحل + 2 عامل","15119090","Warehouse or shop + 2 workers","Provided that it is a document and not intended for retail sale"
"133","لمنشاة صناعية قائمة وتعمل فقط و بموجب كتاب مخصصات وأن تكون المادة غير جاهزة للاستهلاك المباشر","مستودع أومحل + 2 عامل + منشأة صناعية","15121100","Warehouse or shop + 2 workers + industrial facility","For an existing industrial facility operating only under an allotment letter, and the material is not ready for direct consumption"
"134","لمنشاة صناعية قائمة وتعمل فقط و بموجب كتاب مخصصات وأن تكون المادة غير جاهزة للاستهلاك المباشر","مستودع أومحل + 2 عامل + منشأة صناعية","15131100","Warehouse or shop + 2 workers + industrial facility","For an existing industrial facility operating only under an allotment letter, and the material is not ready for direct consumption"
"135","شريطة أن يكون الوصف التجاري:  زيت جوز الهند  بعبوات 20 كغ فما فوق حصراً","مستودع أومحل + 2 عامل","15131900","Warehouse or shop + 2 workers","Provided that the commercial description is: coconut oil exclusively in packages of 20 kg or more"
"136","لمنشاة صناعية قائمة وتعمل فقط و بموجب كتاب مخصصات وأن تكون المادة غير جاهزة للاستهلاك المباشر","مستودع أومحل + 2 عامل + منشأة صناعية","15132100","Warehouse or shop + 2 workers + industrial facility","For an existing industrial facility operating only under an allotment letter, and the material is not ready for direct consumption"
"137","شريطة أن يندرج تحت عنوان الفصل أو الفئة الوصف التجاري: زيت نوى النخيل RBD (المكرر والمبيض والمزال الرائحة) ","مستودع أومحل + 2 عامل","15132900","Warehouse or shop + 2 workers","Provided that it falls under the heading of the chapter or category Trade description: RBD palm kernel oil (refined, bleached and deodorized)"
"138","لمنشاة صناعية قائمة وتعمل فقط و بموجب كتاب مخصصات وأن تكون المادة غير جاهزة للاستهلاك المباشر","مستودع أومحل + 2 عامل + منشأة صناعية","15152100","Warehouse or shop + 2 workers + industrial facility","For an existing industrial facility operating only under an allotment letter, and the material is not ready for direct consumption"
"139",,"مستودع أومحل + 2 عامل","15153000","Warehouse or shop + 2 workers",
"140","شريطة التقييد التام  بألا تكون حلاوة أو طحينة جاهزة ","مستودع أومحل + 2 عامل","15155000","Warehouse or shop + 2 workers","Provided that it is strictly restricted that it is not ready-made halva or tahini"
"141","شريطة أن يكون الوصف التجاري زيوت ذات استعمالات خاصة و أن تكون مواد أولية للصناعة حصراً , وفي حال كان المستورد صناعي يدوّن الوصف التجاري حسب التسميات الواردة بكتاب المخصصات الصناعية وعلى مسؤوليته","مستودع أومحل + 2 عامل","15159000","Warehouse or shop + 2 workers","Provided that the commercial description is oils for special uses and that they are exclusively raw materials for industry. If the importer is industrial, the commercial description shall be recorded according to the nomenclature contained in the industrial allocations book and on his responsibility."
"142","شريطة أن تكون 20 كغ فما فوق ","مستودع أومحل + 2 عامل","15162000","Warehouse or shop + 2 workers","Provided that it is 20 kg or more"
"143","شريطة أن يكون وصف المادة يندرج تحت عنوان الفئة وكذلك يندرج تحت عنوان الفصل ذات الصلة وألا تحتوي على مرغرين بكافة أنواعه ولمنشأة صناعية قائمة وتعمل","مستودع أومحل + 2 عامل + منشأة صناعية","15179000","Warehouse or shop + 2 workers + industrial facility","Provided that the description of the material falls under the heading of the category and also falls under the heading of the relevant chapter and that it does not contain margarine of all kinds and for an existing and operating industrial facility."
"144","لمنشاة صناعية قائمة وتعمل فقط و بموجب كتاب مخصصات الوصف التجاري إيبوكسي """"زيت الصويا الصناعي""""","مستودع أومحل + 2 عامل + منشأة صناعية","15180010","Warehouse or shop + 2 workers + industrial facility","For an existing industrial facility operating only under the trade description allotment book, epoxy “industrial soybean oil”"
"145",,"مستودع أومحل + 2 عامل","15200000","Warehouse or shop + 2 workers",
"146",,"مستودع أومحل + 2 عامل","16041300","Warehouse or shop + 2 workers",
"147",,"مستودع أومحل + 2 عامل","16041400","Warehouse or shop + 2 workers",
"148",,"مستودع أومحل + 2 عامل","17011300","Warehouse or shop + 2 workers",
"149",,"مستودع أومحل + 2 عامل","17011400","Warehouse or shop + 2 workers",
"150",,"مستودع أومحل + 2 عامل","17019100","Warehouse or shop + 2 workers",
"151","شريطة أن يكون الوصف التجاري:  سكر ابيض  مكرر حصراً","مستودع أومحل + 2 عامل","17019900","Warehouse or shop + 2 workers","Provided that the commercial description is: exclusively refined white sugar"
"152",,"مستودع أومحل + 2 عامل","17021100","Warehouse or shop + 2 workers",
"153",,"مستودع أومحل + 2 عامل","17021900","Warehouse or shop + 2 workers",
"154",,"مستودع أومحل + 2 عامل","17023000","Warehouse or shop + 2 workers",
"155",,"مستودع أومحل + 2 عامل","17024000","Warehouse or shop + 2 workers",
"156",,"مستودع أومحل + 2 عامل","17025000","Warehouse or shop + 2 workers",
"157","شريطة أن يكون الوصف التجاري سكر محلول كاراميل و حصراً لمنشأة صناعية قائمة وتعمل وضمن حدود المخصصات الصناعية الصادرة عن مديرية الصناعة المعنية وبحدود الطاقة الإنتاجية الفعلية","مستودع أومحل + 2 عامل + منشأة صناعية","17029000","Warehouse or shop + 2 workers + industrial facility","Provided that the commercial description is caramel sugar solution and is exclusively for an existing industrial facility operating within the limits of the industrial allocations issued by the relevant industry directorate and within the limits of the actual production capacity."
"158","لمنشاة صناعية قائمة وتعمل فقط ومرخصة بصناعة الخميرة و بموجب كتاب مخصصات الوصف التجاري عسل أسود (دبس السكر """"مولاس"""")","مستودع أومحل + 2 عامل + منشأة صناعية","17031000","Warehouse or shop + 2 workers + industrial facility","For an existing and operating industrial facility licensed to manufacture yeast and in accordance with a book of trade description allocations for treacle (molasses)"
"159","شريطة أن يكون وصف المادة يندرج تحت عنوان الفئة وكذلك يندرج تحت عنوان الفصل ذات الصلة - لمنشاة صناعية قائمة وتعمل فقط ومرخصة بصناعة الخميرة و بموجب كتاب مخصصات الوصف التجاري عسل أسود (دبس السكر """"مولاس"""")","مستودع أومحل + 2 عامل + منشأة صناعية","17039000","Warehouse or shop + 2 workers + industrial facility","Provided that the description of the material falls under the heading of the category and also falls under the heading of the relevant chapter - for an existing industrial facility operating only and licensed to manufacture yeast and in accordance with the book of trade description allocations for black honey (molasses)."
"160",,"مستودع أومحل + 2 عامل","18031000","Warehouse or shop + 2 workers",
"161",,"مستودع أومحل + 2 عامل","18032000","Warehouse or shop + 2 workers",
"162",,"مستودع أومحل + 2 عامل","18040000","Warehouse or shop + 2 workers",
